cuie	codigo	usuario	fecha_carga
N00484	RPE 94		
N00664	RPE 94		
N05171	RPE 94		
N05186	RPE 94		
N05210	RPE 94		
N05271	RPE 94		
N05282	RPE 94		
N05312	RPE 94		
N05344	RPE 94		
N05346	RPE 94		
N05356	RPE 94		
N05397	RPE 94		
N05423	RPE 94		
N05449	RPE 94		
N05456	RPE 94		
N10471	RPE 94		
N20026	RPE 94		
N20036	RPE 94		
N20052	RPE 94		
N20053	RPE 94		
N30015	RPE 94		
N30023	RPE 94		
N95719	RPE 94		
N95726	RPE 94		
N95757	RPE 94		
N03163	RPU 83		
N03174	RPU 83		
N05436	RPU 83		
N05167	RPU 83		
N05193	RPU 83		
N05197	RPU 83		
N05230	RPU 83		
N05236	RPU 83		
N05239	RPU 83		
N05240	RPU 83		
N05252	RPU 83		
N05259	RPU 83		
N05269	RPU 83		
N05284	RPU 83		
N05289	RPU 83		
N05291	RPU 83		
N05310	RPU 83		
N05324	RPU 83		
N05325	RPU 83		
N05331	RPU 83		
N05351	RPU 83		
N05358	RPU 83		
N05382	RPU 83		
N05384	RPU 83		
N05401	RPU 83		
N05415	RPU 83		
N05423	RPU 83		
N10466	RPU 83		
N10485	RPU 83		
N20010	RPU 83		
N20022	RPU 83		
N20024	RPU 83		
N20026	RPU 83		
N20044	RPU 83		
N20049	RPU 83		
N30010	RPU 83		
N30023	RPU 83		
N95726	RPU 83		
N95761	RPU 83		
N99931	RPU 83		
N03154	RPU 84		
N03170	RPU 84		
N05166	RPU 84		
N05174	RPU 84		
N05367	RPU 84		
N00204	RPU 84		
N03566	RPU 84		
N05206	RPU 84		
N05220	RPU 84		
N05223	RPU 84		
N05248	RPU 84		
N05253	RPU 84		
N05263	RPU 84		
N05268	RPU 84		
N05277	RPU 84		
N05291	RPU 84		
N05296	RPU 84		
N05342	RPU 84		
N05350	RPU 84		
N05352	RPU 84		
N05358	RPU 84		
N05364	RPU 84		
N05375	RPU 84		
N05400	RPU 84		
N05422	RPU 84		
N05427	RPU 84		
N05429	RPU 84		
N20003	RPU 84		
N20009	RPU 84		
N20010	RPU 84		
N20019	RPU 84		
N20036	RPU 84		
N30022	RPU 84		
N95719	RPU 84		
N95756	RPU 84		
N95764	RPU 84		
N95774	RPU 84		
N99930	RPU 84		
N03162	RPU 85		
N05172	RPU 85		
N05183	RPU 85		
N00484	RPU 85		
N03566	RPU 85		
N03588	RPU 85		
N05189	RPU 85		
N05184	RPE 88		
N05203	RPE 88		
N05238	RPE 88		
N05255	RPE 88		
N05282	RPE 88		
N05304	RPE 88		
N05327	RPE 88		
N05329	RPE 88		
N05363	RPE 88		
N05375	RPE 88		
N05381	RPE 88		
N05389	RPE 88		
N05397	RPE 88		
N05462	RPE 88		
N05468	RPE 88		
N10468	RPE 88		
N10489	RPE 88		
N20055	RPE 88		
N95772	RPE 88		
N95778	RPE 88		
N05161	RPE 89		
N01141	RPE 89		
N03585	RPE 89		
N05169	RPE 89		
N05189	RPE 89		
N05190	RPE 89		
N05202	RPE 89		
N05213	RPE 89		
N05214	RPE 89		
N05221	RPE 89		
N05228	RPE 89		
N05239	RPE 89		
N05245	RPE 89		
N05248	RPE 89		
N05270	RPE 89		
N05278	RPE 89		
N05285	RPE 89		
N05308	RPE 89		
N05320	RPE 89		
N05325	RPE 89		
N05375	RPE 89		
N05429	RPE 89		
N05431	RPE 89		
N05464	RPE 89		
N05466	RPE 89		
N10470	RPE 89		
N10489	RPE 89		
N20019	RPE 89		
N20037	RPE 89		
N99976	RPE 89		
N03171	RPE 90		
N05183	RPE 90		
N00484	RPE 90		
N01139	RPE 90		
N01148	RPE 90		
N03158	RPE 90		
N05202	RPE 90		
N05212	RPE 90		
N05217	RPE 90		
N05227	RPE 90		
N05288	RPE 90		
N05318	RPE 90		
N05338	RPE 90		
N05342	RPE 90		
N05381	RPE 90		
N05388	RPE 90		
N05398	RPE 90		
N05448	RPE 90		
N05459	RPE 90		
N10485	RPE 90		
N20016	RPE 90		
N20033	RPE 90		
N20035	RPE 90		
N20037	RPE 90		
N20042	RPE 90		
N20052	RPE 90		
N30016	RPE 90		
N30022	RPE 90		
N95767	RPE 90		
N95779	RPE 90		
N99931	RPE 90		
N03163	RPE 91		
N05177	RPE 91		
N05178	RPE 91		
N00299	RPE 91		
N01138	RPE 91		
N05186	RPE 91		
N05237	RPE 91		
N05275	RPE 91		
N05296	RPE 91		
N05302	RPE 91		
N05373	RPE 91		
N05376	RPE 91		
N05391	RPE 91		
N10468	RPE 91		
N20023	RPE 91		
N20048	RPE 91		
N20055	RPE 91		
N30016	RPE 91		
N95721	RPE 91		
N95752	RPE 91		
N95764	RPE 91		
N95773	RPE 91		
N95791	RPE 91		
N95792	RPE 91		
N99997	RPE 91		
N03167	RPE 92		
N05179	RPE 92		
S00001	RPE 92		
N00296	RPE 92		
N05163	RPE 92		
N05203	RPE 92		
N05205	RPE 92		
N05216	RPE 92		
N05243	RPE 92		
N05251	RPE 92		
N05266	RPE 92		
N05279	RPE 92		
N05318	RPE 92		
N05322	RPE 92		
N05370	RPE 92		
N05403	RPE 92		
N05405	RPE 92		
N05411	RPE 92		
N05424	RPE 92		
N05442	RPE 92		
N05452	RPE 92		
N05459	RPE 92		
N10499	RPE 92		
N20009	RPE 92		
N20012	RPE 92		
N20019	RPE 92		
N20035	RPE 92		
N20054	RPE 92		
N20055	RPE 92		
N30025	RPE 92		
N95726	RPE 92		
N95752	RPE 92		
N95791	RPE 92		
N95792	RPE 92		
N00419	RPE 93		
N05176	RPE 93		
N05436	RPE 93		
ALD005	RPE 93		
N00420	RPE 93		
N05167	RPE 93		
N05187	RPE 93		
N05209	RPE 93		
N05237	RPE 93		
N05240	RPE 93		
N05251	RPE 93		
N05264	RPE 93		
N05278	RPE 93		
N05320	RPE 93		
N05323	RPE 93		
N05325	RPE 93		
N05348	RPE 93		
N05366	RPE 93		
N05376	RPE 93		
N05378	RPE 93		
N05443	RPE 93		
N05446	RPE 93		
N05447	RPE 93		
N05462	RPE 93		
N05471	RPE 93		
N10469	RPE 93		
N10471	RPE 93		
N10485	RPE 93		
N10853	RPE 93		
N11182	RPE 93		
N20044	RPE 93		
N20050	RPE 93		
N20054	RPE 93		
N30024	RPE 93		
N95760	RPE 93		
N99930	RPE 93		
N01145	RPE 94		
N05435	RPE 94		
N03165	RPE 94		
N05185	RPE 94		
N05189	RPE 94		
N05192	RPE 94		
N05202	RPE 94		
N05220	RPE 94		
N05223	RPE 94		
N05227	RPE 94		
N05255	RPE 94		
N05288	RPE 94		
N05292	RPE 94		
N05320	RPE 94		
N05343	RPE 94		
N05347	RPE 94		
N05357	RPE 94		
N05362	RPE 94		
N05374	RPE 94		
N05403	RPE 94		
N05429	RPE 94		
N05438	RPE 94		
N05446	RPE 94		
N05459	RPE 94		
N10789	RPE 94		
N20010	RPE 94		
N20019	RPE 94		
N20021	RPE 94		
N20047	RPE 94		
N95720	RPE 94		
N95760	RPE 94		
N95781	RPE 94		
N03156	RPU 83		
N03168	RPU 83		
N05162	RPU 83		
N05435	RPU 83		
N03173	RPU 83		
N05199	RPU 83		
N05215	RPU 83		
N05216	RPU 83		
N05235	RPU 83		
N05245	RPU 83		
N05299	RPU 83		
N05306	RPU 83		
N05322	RPU 83		
N05323	RPU 83		
N05327	RPU 83		
N05343	RPU 83		
N05349	RPU 83		
N05375	RPU 83		
N05414	RPU 83		
N05424	RPU 83		
N05430	RPU 83		
N05432	RPU 83		
N10451	RPU 83		
N10489	RPU 83		
N10494	RPU 83		
N11182	RPU 83		
N20017	RPU 83		
N20027	RPU 83		
N20030	RPU 83		
N20031	RPU 83		
N20050	RPU 83		
N30009	RPU 83		
N95719	RPU 83		
N05164	RPU 84		
N00297	RPU 84		
N05163	RPU 84		
N05185	RPU 84		
N05193	RPU 84		
N05194	RPU 84		
N05199	RPU 84		
N05213	RPU 84		
N05221	RPU 84		
N05249	RPU 84		
N05276	RPU 84		
N05287	RPU 84		
N05298	RPU 84		
N05315	RPU 84		
N05344	RPU 84		
N05360	RPU 84		
N05389	RPU 84		
N05409	RPU 84		
N05419	RPU 84		
N05444	RPU 84		
N10452	RPU 84		
N10490	RPU 84		
N10493	RPU 84		
N11181	RPU 84		
N20004	RPU 84		
N20015	RPU 84		
N20018	RPU 84		
N20021	RPU 84		
N20034	RPU 84		
N95721	RPU 84		
N95752	RPU 84		
N95757	RPU 84		
N95769	RPU 84		
N95773	RPU 84		
N95791	RPU 84		
N05161	RPU 85		
N00204	RPU 85		
N00483	RPU 85		
N05173	RPU 85		
N05185	RPU 85		
N05235	RPE 88		
N05244	RPE 88		
N05249	RPE 88		
N05283	RPE 88		
N05320	RPE 88		
N05330	RPE 88		
N05340	RPE 88		
N05346	RPE 88		
N05359	RPE 88		
N05384	RPE 88		
N05414	RPE 88		
N05455	RPE 88		
N10470	RPE 88		
N10493	RPE 88		
N20006	RPE 88		
N20011	RPE 88		
N20022	RPE 88		
N20026	RPE 88		
N20047	RPE 88		
N95721	RPE 88		
N95723	RPE 88		
N95724	RPE 88		
N95760	RPE 88		
N95764	RPE 88		
N95791	RPE 88		
NI8880	RPE 88		
N03171	RPE 89		
N05165	RPE 89		
ALD001	RPE 89		
N00327	RPE 89		
N03589	RPE 89		
N05191	RPE 89		
N05219	RPE 89		
N05220	RPE 89		
N05225	RPE 89		
N05236	RPE 89		
N05274	RPE 89		
N05279	RPE 89		
N05304	RPE 89		
N05313	RPE 89		
N05338	RPE 89		
N05342	RPE 89		
N05360	RPE 89		
N05362	RPE 89		
N05402	RPE 89		
N05406	RPE 89		
N05411	RPE 89		
N05420	RPE 89		
N05459	RPE 89		
N10789	RPE 89		
N20000	RPE 89		
N20011	RPE 89		
N20026	RPE 89		
N20038	RPE 89		
N20054	RPE 89		
N30023	RPE 89		
N95768	RPE 89		
N95792	RPE 89		
N05172	RPE 90		
N05176	RPE 90		
N05368	RPE 90		
N00299	RPE 90		
N05167	RPE 90		
N05171	RPE 90		
N05200	RPE 90		
N05210	RPE 90		
N05225	RPE 90		
N05256	RPE 90		
N05257	RPE 90		
N05285	RPE 90		
N05295	RPE 90		
N05298	RPE 90		
N05326	RPE 90		
N05334	RPE 90		
N05365	RPE 90		
N05404	RPE 90		
N05412	RPE 90		
N05438	RPE 90		
N05442	RPE 90		
N05443	RPE 90		
N05449	RPE 90		
N05456	RPE 90		
N10789	RPE 90		
N20021	RPE 90		
N20041	RPE 90		
N30011	RPE 90		
N30015	RPE 90		
N95772	RPE 90		
N99930	RPE 90		
N00538	RPE 91		
N05261	RPE 91		
N05368	RPE 91		
N00205	RPE 91		
N00296	RPE 91		
N00482	RPE 91		
N01139	RPE 91		
N05187	RPE 91		
N05192	RPE 91		
N05193	RPE 91		
N05226	RPE 91		
N05252	RPE 91		
N05253	RPE 91		
N05256	RPE 91		
N05274	RPE 91		
N05329	RPE 91		
N05400	RPE 91		
N05404	RPE 91		
N05468	RPE 91		
N20003	RPE 91		
N20022	RPE 91		
N20037	RPE 91		
N20043	RPE 91		
N30014	RPE 91		
N95724	RPE 91		
N95757	RPE 91		
N95774	RPE 91		
N05172	RPE 92		
N05177	RPE 92		
N00329	RPE 92		
N00420	RPE 92		
N00482	RPE 92		
N01139	RPE 92		
N05185	RPE 92		
N05267	RPE 92		
N05293	RPE 92		
N05294	RPE 92		
N05314	RPE 92		
N05349	RPE 92		
N05356	RPE 92		
N05384	RPE 92		
N05439	RPE 92		
N05471	RPE 92		
N10789	RPE 92		
N10853	RPE 92		
N95760	RPE 92		
N95761	RPE 92		
N99976	RPE 92		
N05182	RPE 93		
N05234	RPE 93		
N05238	RPE 93		
N05254	RPE 93		
N05259	RPE 93		
N05287	RPE 93		
N05329	RPE 93		
N05344	RPE 93		
N05350	RPE 93		
N05360	RPE 93		
N05413	RPE 93		
N05442	RPE 93		
N10451	RPE 93		
N10488	RPE 93		
N10769	RPE 93		
N20033	RPE 93		
N30011	RPE 93		
N95725	RPE 93		
N95768	RPE 93		
N99932	RPE 93		
N03155	RPE 94		
N05368	RPE 94		
N05408	RPE 94		
N05436	RPE 94		
N00296	RPE 94		
N00297	RPE 94		
N00327	RPE 94		
N00496	RPE 94		
N01141	RPE 94		
N05193	RPE 94		
N05209	RPE 94		
N05216	RPE 94		
N05248	RPE 94		
N05250	RPE 94		
N05251	RPE 94		
N05286	RPE 94		
N05293	RPE 94		
N05319	RPE 94		
N05371	RPE 94		
N05375	RPE 94		
N05381	RPE 94		
N05382	RPE 94		
N05413	RPE 94		
N05426	RPE 94		
N05437	RPE 94		
N05458	RPE 94		
N05470	RPE 94		
N05471	RPE 94		
N10467	RPE 94		
N10469	RPE 94		
N10470	RPE 94		
N20009	RPE 94		
N20014	RPE 94		
N20048	RPE 94		
N20055	RPE 94		
N30025	RPE 94		
N95782	RPE 94		
N99932	RPE 94		
N03586	RPU 83		
N05177	RPU 83		
N05183	RPU 83		
N05262	RPU 83		
N05434	RPU 83		
N00297	RPU 83		
N00482	RPU 83		
N03158	RPU 83		
N03159	RPU 83		
N05190	RPU 83		
N05237	RPU 83		
N05251	RPU 83		
N05258	RPU 83		
N05277	RPU 83		
N05283	RPU 83		
N05294	RPU 83		
N05336	RPU 83		
N05363	RPU 83		
N05373	RPU 83		
N05378	RPU 83		
N05393	RPU 83		
N05395	RPU 83		
N05402	RPU 83		
N05429	RPU 83		
N05438	RPU 83		
N05454	RPU 83		
N05456	RPU 83		
N05457	RPU 83		
N10492	RPU 83		
N99976	RPU 83		
N05175	RPU 84		
N05176	RPU 84		
ALD001	RPU 84		
N00205	RPU 84		
N00296	RPU 84		
N00484	RPU 84		
N05192	RPU 84		
N05228	RPU 84		
N05242	RPU 84		
N05265	RPU 84		
N05274	RPU 84		
N05302	RPU 84		
N05312	RPU 84		
N05320	RPU 84		
N05346	RPU 84		
N05356	RPU 84		
N05363	RPU 84		
N05370	RPU 84		
N05372	RPU 84		
N05402	RPU 84		
N05428	RPU 84		
N05437	RPU 84		
N05460	RPU 84		
N05469	RPU 84		
N20032	RPU 84		
N20038	RPU 84		
N20049	RPU 84		
N95725	RPU 84		
N95782	RPU 84		
N03167	RPU 85		
N05165	RPU 85		
N00297	RPU 85		
N00298	RPU 85		
N00299	RPU 85		
N05194	RPU 85		
N05197	RPU 85		
N05198	RPU 85		
N05204	RPU 85		
N05217	RPU 85		
N05246	RPU 85		
N05257	RPU 85		
N05186	RPE 88		
N05202	RPE 88		
N05204	RPE 88		
N05240	RPE 88		
N05246	RPE 88		
N05248	RPE 88		
N05268	RPE 88		
N05271	RPE 88		
N05285	RPE 88		
N05296	RPE 88		
N05312	RPE 88		
N05313	RPE 88		
N05319	RPE 88		
N05351	RPE 88		
N05365	RPE 88		
N05441	RPE 88		
N05452	RPE 88		
N05463	RPE 88		
N10488	RPE 88		
N20005	RPE 88		
N20008	RPE 88		
N20010	RPE 88		
N20012	RPE 88		
N20038	RPE 88		
N95722	RPE 88		
N95726	RPE 88		
N95792	RPE 88		
N99976	RPE 88		
N05183	RPE 89		
N05434	RPE 89		
N00329	RPE 89		
N03590	RPE 89		
N05212	RPE 89		
N05216	RPE 89		
N05264	RPE 89		
N05266	RPE 89		
N05267	RPE 89		
N05271	RPE 89		
N05273	RPE 89		
N05298	RPE 89		
N05316	RPE 89		
N05339	RPE 89		
N05344	RPE 89		
N05359	RPE 89		
N05363	RPE 89		
N05364	RPE 89		
N05388	RPE 89		
N05392	RPE 89		
N05407	RPE 89		
N05471	RPE 89		
N10485	RPE 89		
N10493	RPE 89		
N20016	RPE 89		
N20034	RPE 89		
N30009	RPE 89		
N95774	RPE 89		
N99990	RPE 89		
N99997	RPE 89		
N03163	RPE 90		
N05182	RPE 90		
N05436	RPE 90		
N00296	RPE 90		
N03164	RPE 90		
N05184	RPE 90		
N05211	RPE 90		
N05234	RPE 90		
N05274	RPE 90		
N05291	RPE 90		
N05302	RPE 90		
N05310	RPE 90		
N05320	RPE 90		
N05327	RPE 90		
N05360	RPE 90		
N05418	RPE 90		
N05432	RPE 90		
N05433	RPE 90		
N05439	RPE 90		
N10466	RPE 90		
N10483	RPE 90		
N10489	RPE 90		
N10853	RPE 90		
N11181	RPE 90		
N20043	RPE 90		
N20045	RPE 90		
N20049	RPE 90		
N20053	RPE 90		
N30013	RPE 90		
N05175	RPE 91		
N05262	RPE 91		
N00484	RPE 91		
N00496	RPE 91		
N00746	RPE 91		
N03158	RPE 91		
N05267	RPE 91		
N05270	RPE 91		
N05276	RPE 91		
N05277	RPE 91		
N05284	RPE 91		
N05307	RPE 91		
N05314	RPE 91		
N05315	RPE 91		
N05358	RPE 91		
N05359	RPE 91		
N05362	RPE 91		
N05366	RPE 91		
N05425	RPE 91		
N05429	RPE 91		
N05432	RPE 91		
N05460	RPE 91		
N10489	RPE 91		
N11181	RPE 91		
N20019	RPE 91		
N20038	RPE 91		
N30013	RPE 91		
N95758	RPE 91		
N95781	RPE 91		
N05165	RPE 92		
N05178	RPE 92		
N01141	RPE 92		
N03158	RPE 92		
N03585	RPE 92		
N05184	RPE 92		
N05192	RPE 92		
N05215	RPE 92		
N05218	RPE 92		
N05222	RPE 92		
N05235	RPE 92		
N05237	RPE 92		
N05244	RPE 92		
N05246	RPE 92		
N05273	RPE 92		
N05276	RPE 92		
N05281	RPE 92		
N05297	RPE 92		
N05326	RPE 92		
N05331	RPE 92		
N05361	RPE 92		
N05406	RPE 92		
N05420	RPE 92		
N05457	RPE 92		
N10471	RPE 92		
N20024	RPE 92		
N20042	RPE 92		
N20050	RPE 92		
N30015	RPE 92		
N99990	RPE 92		
N03170	RPE 93		
N03171	RPE 93		
S00001	RPE 93		
N03164	RPE 93		
N05189	RPE 93		
N05194	RPE 93		
N05195	RPE 93		
N05198	RPE 93		
N05253	RPE 93		
N05277	RPE 93		
N05299	RPE 93		
N05307	RPE 93		
N05316	RPE 93		
N05338	RPE 93		
N05340	RPE 93		
N05343	RPE 93		
N05352	RPE 93		
N05361	RPE 93		
N05365	RPE 93		
N05391	RPE 93		
N05407	RPE 93		
N05409	RPE 93		
N10489	RPE 93		
N20010	RPE 93		
N20014	RPE 93		
N20015	RPE 93		
N20017	RPE 93		
N20026	RPE 93		
N20028	RPE 93		
N20049	RPE 93		
N95718	RPE 93		
N95779	RPE 93		
N99979	RPE 93		
N03166	RPE 94		
N03170	RPE 94		
N05178	RPE 94		
N05179	RPE 94		
N05180	RPE 94		
N05262	RPE 94		
N03584	RPE 94		
N05184	RPE 94		
N05197	RPE 94		
N05218	RPE 94		
N05231	RPE 94		
N05269	RPE 94		
N05276	RPE 94		
N05303	RPE 94		
N05330	RPE 94		
N05345	RPE 94		
N05354	RPE 94		
N05360	RPE 94		
N05365	RPE 94		
N05387	RPE 94		
N05433	RPE 94		
N05460	RPE 94		
N10457	RPE 94		
N10482	RPE 94		
N10491	RPE 94		
N20032	RPE 94		
N30014	RPE 94		
N95756	RPE 94		
N95792	RPE 94		
N03589	RPU 83		
N05184	RPU 83		
N05194	RPU 83		
N05198	RPU 83		
N05204	RPU 83		
N05210	RPU 83		
N05211	RPU 83		
N05224	RPU 83		
N05238	RPU 83		
N05256	RPU 83		
N05295	RPU 83		
N05320	RPU 83		
N05354	RPU 83		
N05370	RPU 83		
N05391	RPU 83		
N05398	RPU 83		
N05437	RPU 83		
N05440	RPU 83		
N05462	RPU 83		
N10457	RPU 83		
N10493	RPU 83		
N20003	RPU 83		
N20035	RPU 83		
N20041	RPU 83		
N20052	RPU 83		
N95720	RPU 83		
N95755	RPU 83		
N95791	RPU 83		
N99990	RPU 83		
N03174	RPU 84		
N05180	RPU 84		
N05368	RPU 84		
ALD005	RPU 84		
N00420	RPU 84		
N00496	RPU 84		
N01138	RPU 84		
N03159	RPU 84		
N05184	RPU 84		
N05188	RPU 84		
N05198	RPU 84		
N05230	RPU 84		
N05246	RPU 84		
N05250	RPU 84		
N05252	RPU 84		
N05258	RPU 84		
N05278	RPU 84		
N05313	RPU 84		
N05355	RPU 84		
N05365	RPU 84		
N05450	RPU 84		
N05453	RPU 84		
N05467	RPU 84		
N10458	RPU 84		
N10492	RPU 84		
N30009	RPU 84		
N30016	RPU 84		
N30023	RPU 84		
N95760	RPU 84		
N05168	RPU 85		
N00328	RPU 85		
N03585	RPU 85		
N05188	RPE 88		
N05206	RPE 88		
N05278	RPE 88		
N05284	RPE 88		
N05294	RPE 88		
N05307	RPE 88		
N05314	RPE 88		
N05315	RPE 88		
N05341	RPE 88		
N05362	RPE 88		
N05378	RPE 88		
N05418	RPE 88		
N05432	RPE 88		
N05442	RPE 88		
N05454	RPE 88		
N10458	RPE 88		
N10485	RPE 88		
N10491	RPE 88		
N20002	RPE 88		
N20019	RPE 88		
N20031	RPE 88		
N95757	RPE 88		
N95782	RPE 88		
N99930	RPE 88		
N03154	RPE 89		
N03166	RPE 89		
N00328	RPE 89		
N00420	RPE 89		
N00484	RPE 89		
N03161	RPE 89		
N05229	RPE 89		
N05244	RPE 89		
N05281	RPE 89		
N05286	RPE 89		
N05307	RPE 89		
N05346	RPE 89		
N05372	RPE 89		
N05378	RPE 89		
N05391	RPE 89		
N05400	RPE 89		
N05401	RPE 89		
N05432	RPE 89		
N05449	RPE 89		
N05455	RPE 89		
N05460	RPE 89		
N10769	RPE 89		
N10853	RPE 89		
N20005	RPE 89		
N20017	RPE 89		
N20022	RPE 89		
N99979	RPE 89		
N03169	RPE 90		
N05166	RPE 90		
N00298	RPE 90		
N03587	RPE 90		
N05185	RPE 90		
N05192	RPE 90		
N05193	RPE 90		
N05197	RPE 90		
N05229	RPE 90		
N05270	RPE 90		
N05271	RPE 90		
N05293	RPE 90		
N05313	RPE 90		
N05328	RPE 90		
N05330	RPE 90		
N05340	RPE 90		
N05405	RPE 90		
N10467	RPE 90		
N10471	RPE 90		
N10478	RPE 90		
N10499	RPE 90		
N20047	RPE 90		
N20054	RPE 90		
N30012	RPE 90		
N95756	RPE 90		
N00419	RPE 91		
N01145	RPE 91		
N05260	RPE 91		
N00204	RPE 91		
N00298	RPE 91		
N00327	RPE 91		
N00328	RPE 91		
N00483	RPE 91		
N05198	RPE 91		
N05201	RPE 91		
N05219	RPE 91		
N05221	RPE 91		
N05293	RPE 91		
N05306	RPE 91		
N05310	RPE 91		
N05320	RPE 91		
N05324	RPE 91		
N05327	RPE 91		
N05354	RPE 91		
N05360	RPE 91		
N05377	RPE 91		
N05410	RPE 91		
N05415	RPE 91		
N05453	RPE 91		
N20011	RPE 91		
N20027	RPE 91		
N20050	RPE 91		
N30012	RPE 91		
N30018	RPE 91		
N95767	RPE 91		
N03174	RPE 92		
N05182	RPE 92		
N03161	RPE 92		
N03165	RPE 92		
N05232	RPE 92		
N05285	RPE 92		
N05286	RPE 92		
N05310	RPE 92		
N05355	RPE 92		
N05387	RPE 92		
N05404	RPE 92		
N05449	RPE 92		
N05454	RPE 92		
N10488	RPE 92		
N10494	RPE 92		
N20026	RPE 92		
N95720	RPE 92		
N95762	RPE 92		
N95764	RPE 92		
N95770	RPE 92		
N03157	RPE 93		
N05165	RPE 93		
N05181	RPE 93		
N05260	RPE 93		
N05203	RPE 93		
N05215	RPE 93		
N05217	RPE 93		
N05219	RPE 93		
N05225	RPE 93		
N05255	RPE 93		
N05275	RPE 93		
N05292	RPE 93		
N05298	RPE 93		
N05314	RPE 93		
N05315	RPE 93		
N05319	RPE 93		
N05321	RPE 93		
N05341	RPE 93		
N05354	RPE 93		
N05359	RPE 93		
N05449	RPE 93		
N05463	RPE 93		
N05468	RPE 93		
N10490	RPE 93		
N20004	RPE 93		
N20006	RPE 93		
N20030	RPE 93		
N20053	RPE 93		
N95781	RPE 93		
N00538	RPE 94		
N03162	RPE 94		
N05182	RPE 94		
N05260	RPE 94		
N03164	RPE 94		
N05173	RPE 94		
N05213	RPE 94		
N05217	RPE 94		
N05221	RPE 94		
N05268	RPE 94		
N05281	RPE 94		
N05285	RPE 94		
N05304	RPE 94		
N05313	RPE 94		
N05323	RPE 94		
N05401	RPE 94		
N05431	RPE 94		
N05445	RPE 94		
N05448	RPE 94		
N05468	RPE 94		
N20002	RPE 94		
N20006	RPE 94		
N20022	RPE 94		
N20050	RPE 94		
N95723	RPE 94		
N95755	RPE 94		
N95761	RPE 94		
N95769	RPE 94		
N95770	RPE 94		
NI8880	RPE 94		
N00419	RPU 83		
N03155	RPU 83		
N05408	RPU 83		
N03584	RPU 83		
N03588	RPU 83		
N05200	RPU 83		
N05206	RPU 83		
N05231	RPU 83		
N05249	RPU 83		
N05253	RPU 83		
N05276	RPU 83		
N05281	RPU 83		
N05288	RPU 83		
N05297	RPU 83		
N05303	RPU 83		
N05304	RPU 83		
N05312	RPU 83		
N05321	RPU 83		
N05347	RPU 83		
N05348	RPU 83		
N05357	RPU 83		
N05405	RPU 83		
N05407	RPU 83		
N05445	RPU 83		
N05450	RPU 83		
N05458	RPU 83		
N20016	RPU 83		
N20037	RPU 83		
N20047	RPU 83		
N95758	RPU 83		
N03162	RPU 84		
N03167	RPU 84		
N03586	RPU 84		
N05434	RPU 84		
N00327	RPU 84		
N03173	RPU 84		
N03585	RPU 84		
N05173	RPU 84		
N05201	RPU 84		
N05212	RPU 84		
N05217	RPU 84		
N05271	RPU 84		
N05273	RPU 84		
N05284	RPU 84		
N05323	RPU 84		
N05324	RPU 84		
N05325	RPU 84		
N05331	RPU 84		
N05349	RPU 84		
N05351	RPU 84		
N05414	RPU 84		
N05420	RPU 84		
N05439	RPU 84		
N05471	RPU 84		
N10489	RPU 84		
N10491	RPU 84		
N20005	RPU 84		
N20028	RPU 84		
N20039	RPU 84		
N30014	RPU 84		
N95768	RPU 84		
N03154	RPU 85		
N03156	RPU 85		
N05174	RPU 85		
N05177	RPU 85		
N00296	RPU 85		
N03589	RPU 85		
N05206	RPU 85		
N05229	RPU 85		
N05230	RPU 85		
N05192	RPE 88		
N05195	RPE 88		
N05208	RPE 88		
N05212	RPE 88		
N05227	RPE 88		
N05234	RPE 88		
N05236	RPE 88		
N05250	RPE 88		
N05273	RPE 88		
N05336	RPE 88		
N05337	RPE 88		
N05347	RPE 88		
N05354	RPE 88		
N05366	RPE 88		
N05391	RPE 88		
N05393	RPE 88		
N05395	RPE 88		
N05402	RPE 88		
N05412	RPE 88		
N05431	RPE 88		
N05447	RPE 88		
N10467	RPE 88		
N10471	RPE 88		
N20027	RPE 88		
N20041	RPE 88		
N20049	RPE 88		
N95753	RPE 88		
N95781	RPE 88		
N03156	RPE 89		
N03169	RPE 89		
N05170	RPE 89		
N05167	RPE 89		
N05185	RPE 89		
N05188	RPE 89		
N05206	RPE 89		
N05209	RPE 89		
N05223	RPE 89		
N05255	RPE 89		
N05268	RPE 89		
N05283	RPE 89		
N05299	RPE 89		
N05300	RPE 89		
N05319	RPE 89		
N05335	RPE 89		
N05340	RPE 89		
N05347	RPE 89		
N05469	RPE 89		
N10458	RPE 89		
N10467	RPE 89		
N10482	RPE 89		
N10490	RPE 89		
N20006	RPE 89		
N20012	RPE 89		
N20014	RPE 89		
N20030	RPE 89		
N20043	RPE 89		
N20049	RPE 89		
N95769	RPE 89		
N99930	RPE 89		
N03154	RPE 90		
N05260	RPE 90		
N05262	RPE 90		
N00746	RPE 90		
N05238	RPE 90		
N05245	RPE 90		
N05269	RPE 90		
N05280	RPE 90		
N05307	RPE 90		
N05319	RPE 90		
N05324	RPE 90		
N05325	RPE 90		
N05344	RPE 90		
N05355	RPE 90		
N05361	RPE 90		
N05375	RPE 90		
N05400	RPE 90		
N05424	RPE 90		
N05431	RPE 90		
N05457	RPE 90		
N05463	RPE 90		
N10469	RPE 90		
N10470	RPE 90		
N20003	RPE 90		
N20026	RPE 90		
N99979	RPE 90		
N99997	RPE 90		
N03156	RPE 91		
N05164	RPE 91		
N05168	RPE 91		
