cuie	codigo	usuario	fecha_carga
N05395	RTM 11		
N05411	RTM 11		
N05424	RTM 11		
N05432	RTM 11		
N05438	RTM 11		
N05445	RTM 11		
N05449	RTM 11		
N05467	RTM 11		
N10489	RTM 11		
N10490	RTM 11		
N20005	RTM 11		
N20038	RTM 11		
N20042	RTM 11		
N20043	RTM 11		
N30025	RTM 11		
N95721	RTM 11		
N95725	RTM 11		
N95758	RTM 11		
N95778	RTM 11		
N95784	RTM 11		
ALD001	SIS 01		
ALD005	SIS 01		
N00204	SIS 01		
N00296	SIS 01		
N03172	SIS 01		
N03585	SIS 01		
N05184	SIS 01		
N05198	SIS 01		
N05220	SIS 01		
N05227	SIS 01		
N05235	SIS 01		
N05255	SIS 01		
N05293	SIS 01		
N05312	SIS 01		
N05338	SIS 01		
N05348	SIS 01		
N05363	SIS 01		
N05384	SIS 01		
N05424	SIS 01		
N05429	SIS 01		
N05440	SIS 01		
N05454	SIS 01		
N05470	SIS 01		
N10491	SIS 01		
N20027	SIS 01		
N30009	SIS 01		
N95757	SIS 01		
N95784	SIS 01		
N99997	SIS 01		
N05162	SIS 17		
N05172	SIS 17		
N05180	SIS 17		
N05182	SIS 17		
N05261	SIS 17		
N05435	SIS 17		
N00538	SIS 18		
N05368	SIS 18		
N05168	TMI 69		
N05260	TMI 69		
N05261	TMI 69		
N00299	TMI 69		
N00482	TMI 69		
N01139	TMI 69		
N05184	TMI 69		
N05188	TMI 69		
N05195	TMI 69		
N05198	TMI 69		
N05210	TMI 69		
N05216	TMI 69		
N05222	TMI 69		
N05227	TMI 69		
N05228	TMI 69		
N05242	TMI 69		
N05272	TMI 69		
N05275	TMI 69		
N05302	TMI 69		
N05316	TMI 69		
N05376	TMI 69		
N05440	TMI 69		
N05458	TMI 69		
N10489	TMI 69		
N10499	TMI 69		
N11181	TMI 69		
N20001	TMI 69		
N20017	TMI 69		
N20030	TMI 69		
N20042	TMI 69		
N20046	TMI 69		
N95752	TMI 69		
N95755	TMI 69		
N95774	TMI 69		
N95779	TMI 69		
N03174	TMI 70		
N05435	TMI 70		
N05279	RPU 85		
N05283	RPU 85		
N05284	RPU 85		
N05295	RPU 85		
N05306	RPU 85		
N05308	RPU 85		
N05319	RPU 85		
N05327	RPU 85		
N05341	RPU 85		
N05365	RPU 85		
N05377	RPU 85		
N05413	RPU 85		
N05420	RPU 85		
N05464	RPU 85		
N10482	RPU 85		
N10489	RPU 85		
N10494	RPU 85		
N10789	RPU 85		
N20016	RPU 85		
N20035	RPU 85		
N95726	RPU 85		
N95779	RPU 85		
N95782	RPU 85		
N05170	RTM 11		
N00204	RTM 11		
N00327	RTM 11		
N03165	RTM 11		
N05169	RTM 11		
N05187	RTM 11		
N05237	RTM 11		
N05253	RTM 11		
N05273	RTM 11		
N05285	RTM 11		
N05307	RTM 11		
N05314	RTM 11		
N05329	RTM 11		
N05370	RTM 11		
N05371	RTM 11		
N05375	RTM 11		
N05418	RTM 11		
N05437	RTM 11		
N05444	RTM 11		
N05457	RTM 11		
N10466	RTM 11		
N10769	RTM 11		
N20010	RTM 11		
N20030	RTM 11		
N99979	RTM 11		
N01139	SIS 01		
N05218	SIS 01		
N05222	SIS 01		
N05230	SIS 01		
N05275	SIS 01		
N05284	SIS 01		
N05285	SIS 01		
N05315	SIS 01		
N05351	SIS 01		
N05370	SIS 01		
N05387	SIS 01		
N05413	SIS 01		
N05417	SIS 01		
N05449	SIS 01		
N20006	SIS 01		
N20044	SIS 01		
N95778	SIS 01		
N99932	SIS 01		
N03170	SIS 18		
N05161	SIS 18		
N05179	SIS 18		
N05262	SIS 18		
N05165	TMI 69		
N00420	TMI 69		
N00484	TMI 69		
N03590	TMI 69		
